animalsAmount,grassAmount,avgLifeLength,avgEnergy,avgChildrenAmount
341,2,0.0,86.97653958944281,0.2404692082111437
390,4,0.0,75.07435897435897,0.46153846153846156
453,5,0.0,63.730684326710815,0.6754966887417219
533,5,0.0,53.29643527204503,0.874296435272045
635,6,0.0,43.733858267716535,1.0551181102362204
766,8,0.0,35.28851174934726,1.216710182767624
910,9,0.0,28.783516483516483,1.3406593406593406
1065,10,0.0,23.666666666666668,1.4366197183098592
1201,10,4.5,19.99666944213156,1.5037468776019984
1309,11,5.114285714285716,17.376623376623378,1.5951107715813597
1380,8,5.392156862745098,15.602173913043478,1.7130434782608697
1428,9,5.693548387096777,14.07282913165266,1.8403361344537814
1447,9,5.986254295532648,12.890117484450588,1.9875604699378024
1434,8,6.258536585365856,12.01952580195258,2.1534170153417014
1404,10,6.562500000000001,11.198005698005698,2.3475783475783474
1322,9,6.747159090909091,10.878971255673223,2.611195158850227
1248,10,6.847141190198366,10.427083333333334,2.8926282051282053
1149,10,7.116552399608227,10.26283724978242,3.2550043516100957
1062,7,7.431107354184277,10.156308851224106,3.662900188323917
999,9,7.588593155893536,9.67867867867868,4.032032032032032
917,9,7.822068965517241,9.495092693565976,4.508178844056706
853,10,7.982005141388175,9.089097303634231,4.944900351699883
775,10,8.069627851140442,8.974193548387097,5.525161290322581
669,11,8.196121883656497,9.25560538116592,6.4992526158445445
593,12,8.363398007341353,9.344013490725127,7.419898819561552
529,11,8.460493205837933,9.559546313799622,8.378071833648393
451,10,8.596533461723627,10.288248337028826,9.880266075388027
386,10,8.769837587006943,11.025906735751295,11.61139896373057
332,10,8.92754275427541,11.870481927710843,13.578313253012048
300,12,9.032229580573937,12.0,15.1
271,13,9.12347826086955,12.309963099630997,16.760147601476014
235,13,9.247224594363779,13.246808510638298,19.378723404255318
200,15,9.412751677852336,14.37,22.84
178,17,9.48154292824553,15.0,25.719101123595507
161,17,9.605263157894726,15.763975155279503,28.48447204968944
152,17,9.691867592970969,16.13157894736842,30.25
143,18,9.748476229175115,16.335664335664337,32.22377622377623
135,19,9.82666666666665,16.511111111111113,34.22222222222222
131,21,9.83199033037871,15.969465648854962,35.31297709923664
127,22,9.88232931726906,15.724409448818898,36.488188976377955
119,23,9.935599999999983,16.04201680672269,38.97478991596638
110,22,9.975706889685366,17.245454545454546,42.2
107,24,9.99285430726477,16.654205607476637,43.47663551401869
101,24,10.049407114624486,17.316831683168317,46.15841584158416
98,24,10.066981875492493,17.602040816326532,47.673469387755105
94,26,10.13320235756383,17.30851063829787,49.765957446808514
90,27,10.186201489611895,17.455555555555556,52.022222222222226
86,28,10.206411258795912,17.674418604651162,54.51162790697674
81,30,10.2629730784237,17.703703703703702,57.876543209876544
78,31,10.272691858200211,17.846153846153847,60.12820512820513
70,33,10.313664596273272,18.757142857142856,67.02857142857142
67,32,10.327906976744167,20.059701492537314,70.05970149253731
67,32,10.37630662020904,20.223880597014926,70.14925373134328
63,34,10.418469860896424,20.428571428571427,74.63492063492063
62,35,10.43127413127411,20.370967741935484,75.87096774193549
59,36,10.442344774392575,21.033898305084747,79.72881355932203
57,38,10.441448382126328,20.736842105263158,82.56140350877193
51,38,10.513056835637462,23.607843137254903,92.3529411764706
51,39,10.53146584804296,23.372549019607842,92.43137254901961
45,40,10.6153846153846,25.533333333333335,104.8
46,40,10.6153846153846,24.869565217391305,102.56521739130434
45,42,10.685135651509345,24.377777777777776,104.97777777777777
46,44,10.686019862490435,22.847826086956523,102.78260869565217
46,46,10.701640595192657,21.804347826086957,102.91304347826087
47,47,10.742279832253127,20.425531914893618,100.85106382978724
50,49,10.741234756097542,18.2,94.96
52,51,10.776636225266344,16.442307692307693,91.53846153846153
54,52,10.7763408139977,15.222222222222221,88.25925925925925
53,53,10.788373860182354,15.20754716981132,90.0
55,54,10.785795670338,14.363636363636363,86.83636363636364
51,52,10.778156996587015,17.392156862745097,93.6470588235294
49,54,10.775672603258794,17.06122448979592,97.46938775510205
43,55,10.774376417233544,19.209302325581394,111.11627906976744
40,55,10.792531120331935,21.525,119.55
35,55,10.851336093338334,24.257142857142856,136.68571428571428
37,56,10.851336093338334,22.18918918918919,129.40540540540542
36,57,10.876269274163201,21.805555555555557,133.05555555555554
36,59,10.872604284103703,20.77777777777778,133.16666666666666
35,59,10.887387387387369,22.2,137.0857142857143
34,59,10.889305816135066,24.176470588235293,141.11764705882354
31,59,10.914542728635665,27.193548387096776,154.7741935483871
30,61,10.926938928437599,27.066666666666666,159.93333333333334
26,63,10.979423868312738,30.076923076923077,184.53846153846155
24,65,11.004112149532691,31.5,199.91666666666666
22,67,11.00261486738885,33.27272727272727,218.0909090909091
21,68,11.001493651979072,34.285714285714285,228.47619047619048
21,70,11.001493651979072,33.285714285714285,228.47619047619048
19,72,11.014552238805953,35.68421052631579,252.52631578947367
19,74,11.014552238805953,34.68421052631579,252.52631578947367
19,76,11.014552238805953,33.68421052631579,252.52631578947367
18,77,11.019768743006324,34.77777777777778,266.55555555555554
18,79,11.019768743006324,33.77777777777778,266.55555555555554
17,81,11.049962714392228,34.705882352941174,282.2352941176471
17,83,11.049962714392228,33.705882352941174,282.2352941176471
17,84,11.063361908311576,35.0,282.3529411764706
16,86,11.086065573770476,36.125,300.0
16,86,11.086065573770476,37.625,300.0
14,88,11.130677587490677,41.857142857142854,342.85714285714283
13,89,11.1280238183848,47.07692307692308,369.2307692307692
13,91,11.1280238183848,46.07692307692308,369.2307692307692
13,92,11.1280238183848,46.30769230769231,369.2307692307692
